classifier_name,dataset_name,accuracy
FCN, Beef, 0.7433
FCN, BirdChicken, 0.87
FCN, DistalPhalanxOutlineAgeGroup, 0.7209
FCN, DistalPhalanxTW, 0.6871
FCN, ECG200, 0.8880
FCN, GunPoint, 0.9880
FCN, Ham, 0.701
FCN, ItalyPowerDemand, 0.9589
FCN, Lightning2, 0.7262
FCN, Lightning7, 0.7973
FCN, MiddlePhalanxTW, 0.5058
FCN, Herring, 0.6438
WFCN3, Beef, 0.7
WFCN3, BirdChicken, 0.76
WFCN3, DistalPhalanxOutlineAgeGroup, 0.7302
WFCN3, DistalPhalanxTW, 0.6446
WFCN3, ECG200, 0.8790
WFCN3, GunPoint, 0.9367
WFCN3, Ham, 0.6829
WFCN3, ItalyPowerDemand, 0.9588
WFCN3, Lightning2, 0.7131
WFCN3, Lightning7, 0.6699
WFCN3, MiddlePhalanxTW, 0.7974
WFCN3, Herring, 0.5703
WFCN5, Beef, 0.71
WFCN5, BirdChicken, 0.80
WFCN5, DistalPhalanxOutlineAgeGroup, 0.7137
WFCN5, DistalPhalanxTW, 0.6763
WFCN5, ECG200, 0.8350
WFCN5, GunPoint, 0.9873
WFCN5, Ham, 0.6400
WFCN5, ItalyPowerDemand, 0.9584
WFCN5, Lightning2, 0.7361
WFCN5, Lightning7, 0.6890
WFCN5, MiddlePhalanxTW, 0.4864
WFCN5, Herring, 0.5625
FCNWR3, Beef, 0.6633
FCNWR3, BirdChicken, 0.9350
FCNWR3, DistalPhalanxOutlineAgeGroup, 0.7151
FCNWR3, DistalPhalanxTW, 0.6777
FCNWR3, ECG200, 0.8660
FCNWR3, GunPoint, 0.9827
FCNWR3, Ham, 0.6438
FCNWR3, ItalyPowerDemand, 0.9550
FCNWR3, Lightning2, 0.7443
FCNWR3, Lightning7, 0.7890
FCNWR3, MiddlePhalanxTW, 0.5130
FCNWR3, Herring, 0.5625
FCNWR5, Beef, 0.6667
FCNWR5, BirdChicken, 0.9200
FCNWR5, DistalPhalanxOutlineAgeGroup, 0.6928
FCNWR5, DistalPhalanxTW, 0.6849
FCNWR5, ECG200, 0.8970
FCNWR5, GunPoint, 0.9853
FCNWR5, Ham, 0.6638
FCNWR5, ItalyPowerDemand, 0.9562
FCNWR5, Lightning2, 0.7393
FCNWR5, Lightning7, 0.8096
FCNWR5, MiddlePhalanxTW, 0.5039
FCNWR5, Herring, 0.6406
WFCNWR33, Beef, 0.6367
WFCNWR33, BirdChicken, 0.8650
WFCNWR33, DistalPhalanxOutlineAgeGroup, 0.7180
WFCNWR33, DistalPhalanxTW, 0.6705
WFCNWR33, ECG200, 0.8980
WFCNWR33, GunPoint, 0.9520
WFCNWR33, Ham, 0.6724
WFCNWR33, ItalyPowerDemand, 0.9564
WFCNWR33, Lightning2, 0.7721
WFCNWR33, Lightning7, 0.7027
WFCNWR33, MiddlePhalanxTW, 0.4558
WFCNWR33, Herring, 0.5297
WFCNWR55, Beef, 0.6533
WFCNWR55, BirdChicken, 0.7650
WFCNWR55, DistalPhalanxOutlineAgeGroup, 0.7302
WFCNWR55, DistalPhalanxTW, 0.6554
WFCNWR55, ECG200, 0.8750
WFCNWR55, GunPoint, 0.9800
WFCNWR55, Ham, 0.6429
WFCNWR55, ItalyPowerDemand, 0.9614
WFCNWR55, Lightning2, 0.7607
WFCNWR55, Lightning7, 0.6479
WFCNWR55, MiddlePhalanxTW, 0.4448
WFCNWR55, Herring, 0.5984
WFCNWR35, Beef, 0.6833
WFCNWR35, BirdChicken, 0.8850
WFCNWR35, DistalPhalanxOutlineAgeGroup, 0.7324
WFCNWR35, DistalPhalanxTW, 0.6712
WFCNWR35, ECG200, 0.8640
WFCNWR35, GunPoint, 0.9633
WFCNWR35, Ham, 0.6429
WFCNWR35, ItalyPowerDemand, 0.9594
WFCNWR35, Lightning2, 0.7852
WFCNWR35, Lightning7, 0.6932
WFCNWR35, MiddlePhalanxTW, 0.4864
WFCNWR35, Herring, 0.5422
