classifier_name,dataset_name,accuracy
WFCNER33, Beef, 0.6367
WFCNER33, BirdChicken, 0.8650
WFCNER33, DistalPhalanxOutlineAgeGroup, 0.7180
WFCNER33, DistalPhalanxTW, 0.6705
WFCNER33, ECG200, 0.8980
WFCNER33, GunPoint, 0.9520
WFCNER33, Ham, 0.6724
WFCNER33, ItalyPowerDemand, 0.9564
WFCNER33, Lightning2, 0.7721
WFCNER33, Lightning7, 0.7027
WFCNER33, MiddlePhalanxTW, 0.4558
WFCNER33, Herring, 0.5297
WFCNER55, Beef, 0.6533
WFCNER55, BirdChicken, 0.7650
WFCNER55, DistalPhalanxOutlineAgeGroup, 0.7302
WFCNER55, DistalPhalanxTW, 0.6554
WFCNER55, ECG200, 0.8750
WFCNER55, GunPoint, 0.9800
WFCNER55, Ham, 0.6429
WFCNER55, ItalyPowerDemand, 0.9614
WFCNER55, Lightning2, 0.7607
WFCNER55, Lightning7, 0.6479
WFCNER55, MiddlePhalanxTW, 0.4448
WFCNER55, Herring, 0.5984
WFCNER35, Beef, 0.6833
WFCNER35, BirdChicken, 0.8850
WFCNER35, DistalPhalanxOutlineAgeGroup, 0.7324
WFCNER35, DistalPhalanxTW, 0.6712
WFCNER35, ECG200, 0.8640
WFCNER35, GunPoint, 0.9633
WFCNER35, Ham, 0.6429
WFCNER35, ItalyPowerDemand, 0.9594
WFCNER35, Lightning2, 0.7852
WFCNER35, Lightning7, 0.6932
WFCNER35, MiddlePhalanxTW, 0.4864
WFCNER35, Herring, 0.5422
