classifier_name,dataset_name,accuracy
ResNet1D, Beef, 0.7567
ResNet1D, BirdChicken, 0.8700
ResNet1D, Coffee, 0.9964
ResNet1D, DistalPhalanxOutlineAgeGroup, 0.7230
ResNet1D, DistalPhalanxTW, 0.6489
ResNet1D, ECG200, 0.8320
ResNet1D, Ham, 0.7400
ResNet1D, GunPoint, 0.9760
ResNet1D, ItalyPowerDemand, 0.9596
ResNet1D, Lightning2, 0.7279
ResNet1D, Lightning7, 0.8164
ResNet1D, MiddlePhalanxTW, 0.4708
WRN3, Beef, 0.6533
WRN3, BirdChicken, 0.8600
WRN3, Coffee, 0.9964
WRN3, DistalPhalanxOutlineAgeGroup, 0.7273
WRN3, DistalPhalanxTW, 0.6662
WRN3, ECG200, 0.8680
WRN3, Ham, 0.7419
WRN3, GunPoint, 0.9920
WRN3, ItalyPowerDemand, 0.9599
WRN3, Lightning2, 0.7361
WRN3, Lightning7, 0.6781
WRN3, MiddlePhalanxTW, 0.5052
WRN5, Beef, 0.71
WRN5, BirdChicken, 0.8750
WRN5, Coffee, 0.9964
WRN5, DistalPhalanxOutlineAgeGroup, 0.7194
WRN5, DistalPhalanxTW, 0.6626
WRN5, ECG200, 0.8820
WRN5, Ham, 0.7410
WRN5, GunPoint, 0.9773
WRN5, ItalyPowerDemand, 0.9588
WRN5, Lightning2, 0.7393
WRN5, Lightning7, 0.7575
WRN5, MiddlePhalanxTW, 0.4838
RNWR3, Beef, 0.6900
RNWR3, BirdChicken, 0.9350
RNWR3, Coffee, 0.9964
RNWR3, DistalPhalanxOutlineAgeGroup, 0.7151
RNWR3, DistalPhalanxTW, 0.6655
RNWR3, ECG200, 0.8780
RNWR3, Ham, 0.7362
RNWR3, GunPoint, 0.9847
RNWR3, ItalyPowerDemand, 0.9586
RNWR3, Lightning2, 0.7984
RNWR3, Lightning7, 0.8164
RNWR3, MiddlePhalanxTW, 0.4981
RNWR5, Beef, 0.6433
RNWR5, BirdChicken, 0.9300
RNWR5, Coffee, 0.9964
RNWR5, DistalPhalanxOutlineAgeGroup, 0.7388
RNWR5, DistalPhalanxTW, 0.6676
RNWR5, ECG200, 0.8990
RNWR5, Ham, 0.7181
RNWR5, GunPoint, 0.9840
RNWR5, ItalyPowerDemand, 0.9608
RNWR5, Lightning2, 0.7967
RNWR5, Lightning7, 0.8000
RNWR5, MiddlePhalanxTW, 0.5136
WRNWR33, Beef, 0.7067
WRNWR33, BirdChicken, 0.8150
WRNWR33, Coffee, 0.9786
WRNWR33, DistalPhalanxOutlineAgeGroup, 0.7230
WRNWR33, DistalPhalanxTW, 0.6230
WRNWR33, ECG200, 0.8760
WRNWR33, Ham, 0.6752
WRNWR33, GunPoint, 0.9833
WRNWR33, ItalyPowerDemand, 0.9597
WRNWR33, Lightning2, 0.8213
WRNWR33, Lightning7, 0.7548
WRNWR33, MiddlePhalanxTW, 0.4831
WRNWR55, Beef, 0.6633
WRNWR55, BirdChicken, 0.7950
WRNWR55, Coffee, 1.0
WRNWR55, DistalPhalanxOutlineAgeGroup, 0.7237
WRNWR55, DistalPhalanxTW, 0.6626
WRNWR55, ECG200, 0.89
WRNWR55, Ham, 0.7219
WRNWR55, GunPoint, 0.9820
WRNWR55, ItalyPowerDemand, 0.9605
WRNWR55, Lightning2, 0.8098
WRNWR55, Lightning7, 0.70
WRNWR55, MiddlePhalanxTW, 0.4942

